DATE,DIRECTION,ROAD,LOCATION,EVENT,DAY,MONTH,DAYNUM,TIME,YEAR
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL,Sun,Oct,07,10:24:02,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
