,Label,Detectors,Lat,Lng
1464,I-35W SB @ 94th St,MP35WS05_1,44.83761,-93.298
1465,I-35 NB N of T.H.21,V35N30T4,44.33401,-93.29311
1466,I-35 NB N of C.S.A.H.12,V35N30T1,44.22568,-93.27696
1467,I-35 NB S of T.H.60,V35N30T2,44.25372,-93.28657
1468,I-35E NB S of T.H.77,V35EN01,44.76588,-93.23681
1469,I-35W SB @ 88th St,L35WS67_3,44.84367,-93.29843
1470,I-394 Rev WB @ Linden Ave,V394W00C,44.97319,-93.2946
1471,I-35W SB @ 88th St,L35WS67_2,44.84367,-93.29848
1472,I-394 Rev WB @ Dunwoody Blvd,V394W00D,44.97225,-93.29391
1473,I-35W SB @ 88th St,L35WS67_1,44.84367,-93.29852
1474,I-394 Rev WB @ Van White Mem Blvd,V394W00E,44.9731,-93.29521
1475,I-35E NB N of Wagon Wheel Tr,V35EN05,44.87892,-93.14125
1476,I-35E NB @ Deerwood Dr,V35EN03,44.81261,-93.18072
1477,I-394 WB @ 16th St,V394W00A,44.97529,-93.2853
1478,I-394 CD2 WB @ I-94,V394W00B,44.97474,-93.28703
1479,I-35E NB S of Lone Oak Rd,V35EN04,44.84136,-93.15762
1480,I-35W SB @ Hennepin Ave,V35WS04T,44.9908,-93.23666
1481,T.H.5 EB @ Airport Rd,V5E05,44.87785,-93.19235
1482,T.H.10 WB @ T.H.59 (MP 44.080),VDL10W10,46.82671,-95.86215
1483,T.H.169 SB (Mankato),V169S56,44.19779,-94.02133
1484,I-494 WB N of Lake Rd,V494W01,44.92073,-92.97476
1485,I-35W NB N of Co Rd 42,L35WN19_1,44.75045,-93.28456
1486,T.H.371 NB @ 250th St,VT371N01,46.11876,-94.33883
1487,I-35W SB @ 92nd St,L35WS68_3,44.83763,-93.29776
1488,I-394 WB (Minneapolis),VG394W00,44.97514,-93.28845
1489,I-35W SB @ 66th St,L35WS60_2,44.88653,-93.29622
1490,I-35E SB N of Little Canada Rd,V35ES04,45.027,-93.09011
1491,I-35W SB @ 66th St,L35WS60_1,44.88653,-93.29626
1492,I-35W NB @ 106th St,MP35WN07_2,44.81705,-93.29106
1493,I-35E SB N of Roselawn Ave,V35ES05,45.00491,-93.08989
1494,I-35E SB S of Co Rd J,V35ES02,45.11092,-93.04964
1495,I-35W NB @ 106th St,MP35WN07_1,44.81705,-93.29106
1496,I-35E SB S of Co Rd E,V35ES03,45.04589,-93.06099
1497,C.S.A.H.6 EB W of I-494,VHC6E50,44.99659,-93.4613
1498,I-35E SB N of W. 7th St,V35ES07,44.92078,-93.14503
1499,I-494 EB @ Portland Ave,VM494E08,44.86207,-93.26828
1500,I-494 EB @ T.H.77,VM494E09,44.86099,-93.24891
1501,I-35W SB @ 86th St,MP35WS04_1,44.85012,-93.29865
1502,I-35W NB @ 37th St,L35WN48_1,44.93597,-93.27458
1503,I-35W NB @ 37th St,L35WN48_2,44.93597,-93.27462
1504,I-35W NB @ 37th St,L35WN48_3,44.93597,-93.27467
1505,I-35W NB @ 37th St,L35WN48_4,44.93597,-93.2747
1506,I-35W NB @ 37th St,L35WN48_5,44.93597,-93.27475
1507,I-35W SB @ 66th St,L35WS60_3,44.88653,-93.29619
1508,I-94 EB @ Riverside Ave,L94E60_3,44.96424,-93.23384
1509,I-94 EB @ Riverside Ave,L94E60_4,44.96425,-93.23386
1510,I-35W NB N of Cliff Rd,L35WN25_3,44.79008,-93.2888
1511,I-94 EB @ Riverside Ave,L94E60_1,44.96414,-93.23384
1512,I-35W NB N of Cliff Rd,L35WN25_2,44.79008,-93.28876
1513,I-35W NB N of Cliff Rd,L35WN25_1,44.79008,-93.28871
1514,I-94 EB @ Riverside Ave,L94E60_2,44.9642,-93.23384
1515,I-35W SB @ 106th St,L35WS72_2,44.80983,-93.29167
1516,I-35W NB @ McAndrews Rd,V35WN03,44.75222,-93.2858
1517,I-35W NB N of Cliff Rd,V35WN04,44.7904,-93.28839
1518,I-35W SB @ 106th St,L35WS72_3,44.80983,-93.29162
1519,I-35W NB @ Southcross Dr,V35WN01,44.73762,-93.28289
