,Station,Lat,Lng
11168,no ID,44.89202,-93.58068
11169,no ID,44.89154,-93.58424
11170,no ID,44.90486,-93.96971
11171,no ID,44.90485,-93.97079
11172,no ID,44.90628,-94.05106
11173,no ID,44.90625,-94.05254
11174,no ID,44.94918,-95.37265
11175,no ID,44.94915,-95.37338
11176,no ID,44.94872,-95.74342
11177,no ID,44.94921,-95.74413
11178,no ID,46.04596,-96.49424
11179,no ID,46.04766,-96.4942
11180,no ID,46.65776,-96.7583
11181,no ID,46.65921,-96.75832
11182,no ID,46.83925,-96.76795
11183,no ID,46.84002,-96.76799
11184,no ID,46.84097,-96.76801
11185,no ID,46.84199,-96.76797
11186,no ID,46.84367,-96.76805
11187,no ID,46.90329,-96.74606
11188,no ID,46.90486,-96.7461
11189,no ID,48.02048,-96.66741
11190,no ID,48.02094,-96.66763
11191,no ID,48.02127,-96.66782
11192,no ID,48.02205,-96.66853
11193,no ID,48.02164,-96.66827
11194,no ID,46.90613,-96.74635
11195,no ID,46.90516,-96.74635
11196,no ID,46.6602,-96.75852
11197,no ID,46.65947,-96.75852
11198,no ID,46.04891,-96.49441
11199,no ID,46.048,-96.49442
11200,no ID,44.85615,-93.24709
11201,no ID,44.85869,-93.24669
11202,no ID,44.85919,-93.24672
11203,no ID,44.86038,-93.24638
11204,no ID,44.86071,-93.24631
11205,no ID,44.86156,-93.24574
11206,no ID,44.86246,-93.24538
11207,no ID,44.86338,-93.24589
11208,no ID,44.86405,-93.24672
11209,no ID,44.8644,-93.24695
11210,no ID,44.86621,-93.24727
11211,no ID,44.84975,-93.2472
11212,no ID,44.85328,-93.24671
11213,no ID,44.85394,-93.24669
11214,no ID,44.85508,-93.24662
11215,no ID,44.85807,-93.24667
11216,no ID,44.85978,-93.24651
11217,no ID,44.86001,-93.24646
11218,no ID,44.86024,-93.2464
11219,no ID,44.86038,-93.24638
11220,no ID,44.86965,-93.24761
11221,no ID,44.8666,-93.24804
11222,no ID,44.86624,-93.24803
11223,no ID,44.86552,-93.24805
11224,no ID,44.86264,-93.24762
11225,no ID,44.86172,-93.24766
11226,no ID,44.86139,-93.24767
11227,no ID,44.85705,-93.24756
11228,no ID,44.85151,-93.24751
11229,no ID,44.7626,-93.21808
11230,no ID,44.76166,-93.2185
11231,no ID,44.75965,-93.21864
11232,no ID,44.75759,-93.21757
11233,no ID,44.75928,-93.21759
11234,S920,44.76049,-93.21758
11235,no ID,44.76354,-93.21759
11236,S921,44.76772,-93.21738
11237,no ID,44.76941,-93.21735
11238,no ID,44.7744,-93.21704
11239,S922,44.77526,-93.21708
11240,no ID,44.77781,-93.21706
11241,no ID,44.7795,-93.21724
11242,S796,44.78109,-93.21756
11243,no ID,44.78289,-93.21808
11244,no ID,44.78585,-93.21942
11245,S797,44.792,-93.22157
11246,no ID,44.79488,-93.22176
11247,no ID,44.80043,-93.22171
11248,no ID,44.80393,-93.22103
11249,S798,44.80663,-93.21993
11250,no ID,44.80812,-93.21925
11251,no ID,44.80948,-93.21902
11252,no ID,44.81087,-93.21903
11253,S799,44.8134,-93.21999
11254,no ID,44.81478,-93.22078
11255,no ID,44.81563,-93.22127
11256,no ID,44.8193,-93.22342
11257,S800,44.82256,-93.22533
11258,no ID,44.82484,-93.22754
11259,S801,44.82773,-93.23203
11260,no ID,44.82901,-93.23396
11261,S802,44.83148,-93.23642
11262,S803,44.83573,-93.23989
11263,no ID,44.84124,-93.24452
11264,S522,44.84217,-93.24531
11265,no ID,44.84317,-93.24615
11266,no ID,44.84376,-93.2465
11267,no ID,44.84609,-93.24724
11268,S523,44.84951,-93.2472
11269,no ID,44.84975,-93.2472
11270,S524,44.85357,-93.24714
11271,no ID,44.85615,-93.24709
11272,S525,44.85835,-93.24721
11273,no ID,44.8615,-93.24723
11274,no ID,44.86265,-93.24722
11275,S526,44.86572,-93.24727
11276,no ID,44.8662,-93.24727
11277,S527,44.86885,-93.24724
11278,S528,44.87544,-93.24692
11279,no ID,44.8792,-93.24682
11280,S529,44.88197,-93.24673
11281,no ID,44.88664,-93.24669
11282,no ID,44.89086,-93.2467
11283,no ID,44.89306,-93.24684
11284,S531,44.89438,-93.24692
11285,no ID,44.89518,-93.24696
11286,no ID,44.89658,-93.24702
11287,no ID,44.89778,-93.24701
11288,no ID,44.89944,-93.24732
11289,no ID,44.8981,-93.24732
11290,no ID,44.89609,-93.24735
11291,no ID,44.89507,-93.24729
11292,S534,44.89437,-93.24724
11293,no ID,44.89274,-93.24714
11294,no ID,44.89088,-93.24702
11295,no ID,44.8865,-93.247
11296,S536,44.88196,-93.24703
11297,no ID,44.88038,-93.24709
11298,no ID,44.87728,-93.24719
11299,S537,44.87543,-93.24726
11300,no ID,44.87513,-93.24731
11301,no ID,44.87194,-93.24755
11302,no ID,44.86965,-93.24761
11303,S538,44.86887,-93.24764
11304,no ID,44.86605,-93.24771
11305,S539,44.86572,-93.2477
11306,S540,44.85833,-93.24748
11307,S541,44.85358,-93.24748
11308,no ID,44.85325,-93.24748
11309,no ID,44.85151,-93.24751
11310,no ID,44.85134,-93.24751
11311,S542,44.84951,-93.24752
11312,no ID,44.84902,-93.24754
11313,no ID,44.84606,-93.24755
11314,no ID,44.84365,-93.24679
11315,no ID,44.84306,-93.24641
11316,S543,44.84204,-93.24556
11317,no ID,44.8411,-93.24476
11318,no ID,44.83994,-93.24377
11319,S807,44.83555,-93.24021
11320,S808,44.83136,-93.23696
11321,no ID,44.82919,-93.23479
11322,S809,44.82751,-93.23239
11323,no ID,44.82447,-93.22771
11324,S810,44.8224,-93.22571
11325,no ID,44.81914,-93.2238
11326,no ID,44.81545,-93.22166
11327,no ID,44.81449,-93.22111
11328,S811,44.8132,-93.22035
11329,no ID,44.8108,-93.2195
11330,no ID,44.80957,-93.21947
11331,no ID,44.80846,-93.21978
11332,S812,44.80679,-93.22041
11333,no ID,44.80402,-93.22149
11334,no ID,44.80042,-93.22218
11335,no ID,44.79568,-93.22224
11336,S813,44.79196,-93.22204
11337,no ID,44.78646,-93.22013
11338,no ID,44.78286,-93.21852
11339,S814,44.78038,-93.21773
11340,no ID,44.7787,-93.21745
11341,no ID,44.77701,-93.21735
11342,S927,44.77529,-93.21742
11343,no ID,44.77313,-93.21749
11344,no ID,44.7695,-93.21764
11345,S928,44.76774,-93.21768
11346,no ID,44.7626,-93.21784
11347,no ID,44.76229,-93.21791
11348,S929,44.7605,-93.21791
11349,no ID,44.75483,-93.21795
11350,no ID,45.32913,-95.00966
11351,no ID,45.32915,-95.00925
11352,no ID,45.32925,-95.00841
11353,no ID,45.32923,-95.00882
11354,no ID,44.28543,-94.39383
11355,no ID,44.28479,-94.39211
11356,no ID,44.06043,-93.50362
11357,no ID,44.0604,-93.49689
11358,no ID,44.06038,-93.49538
11359,no ID,44.06016,-93.4941
11360,no ID,44.05981,-93.49317
11361,no ID,44.05898,-93.49177
11362,no ID,44.05604,-93.48734
11363,no ID,44.05356,-93.48261
11364,no ID,44.05329,-93.48142
11365,no ID,44.05311,-93.47938
11366,no ID,44.05472,-93.46681
11367,no ID,44.05546,-93.46125
11368,no ID,44.05765,-93.44488
11369,no ID,44.05881,-93.43637
11370,no ID,44.05905,-93.42976
11371,no ID,44.05885,-93.42313
11372,no ID,44.05864,-93.41637
11373,no ID,44.05862,-93.41414
11374,no ID,44.05885,-93.39396
11375,no ID,44.05903,-93.3867
11376,no ID,44.05908,-93.38075
11377,no ID,44.05925,-93.36671
11378,no ID,44.05938,-93.3466
11379,no ID,44.0594,-93.33646
11380,no ID,44.05946,-93.32638
11381,no ID,44.05952,-93.31421
11382,no ID,44.05948,-93.30638
11383,no ID,44.05941,-93.29223
11384,no ID,44.05951,-93.28269
11385,no ID,44.05958,-93.276
11386,no ID,44.05961,-93.27261
11387,no ID,44.05956,-93.26936
11388,no ID,44.05948,-93.26492
11389,no ID,44.05927,-93.25814
11390,no ID,44.05929,-93.25067
11391,no ID,44.05929,-93.25035
11392,no ID,44.05929,-93.25004
11393,no ID,44.05929,-93.24744
11394,no ID,44.0593,-93.23604
11395,no ID,44.05938,-93.23101
11396,no ID,44.05945,-93.22718
11397,no ID,44.05947,-93.22613
11398,no ID,44.05959,-93.21929
11399,no ID,44.0596,-93.21709
11400,no ID,44.05954,-93.2142
11401,no ID,44.05946,-93.21182
11402,no ID,44.05904,-93.19735
11403,no ID,44.05901,-93.19501
11404,no ID,44.05909,-93.19308
11405,no ID,44.05942,-93.18954
11406,no ID,44.0596,-93.18776
11407,no ID,44.05969,-93.18675
11408,no ID,44.05971,-93.18605
11409,no ID,44.05973,-93.18468
11410,no ID,44.05969,-93.18321
11411,no ID,44.05951,-93.17715
11412,no ID,44.05922,-93.16749
11413,no ID,44.05923,-93.16599
11414,no ID,44.05926,-93.16344
11415,no ID,44.0596,-93.14639
11416,no ID,44.05969,-93.14107
11417,no ID,44.05979,-93.13602
11418,no ID,44.05982,-93.13429
11419,no ID,44.05991,-93.13195
11420,no ID,44.05995,-93.12984
11421,no ID,44.05999,-93.12874
11422,no ID,44.06009,-93.12802
11423,no ID,44.06036,-93.12679
11424,no ID,44.06064,-93.12557
11425,no ID,44.06072,-93.12506
11426,no ID,44.06074,-93.12462
11427,no ID,44.06073,-93.1241
11428,no ID,44.06067,-93.12354
11429,no ID,44.06058,-93.123
11430,no ID,44.06048,-93.12266
11431,no ID,44.06032,-93.12219
11432,no ID,44.06018,-93.12184
11433,no ID,44.05936,-93.12013
11434,no ID,44.05911,-93.11955
11435,no ID,44.05872,-93.1184
11436,no ID,44.05846,-93.11748
11437,no ID,44.05815,-93.1163
11438,no ID,44.0555,-93.10614
11439,no ID,44.05451,-93.10234
11440,no ID,44.05369,-93.0992
11441,no ID,44.05345,-93.09824
11442,no ID,44.053,-93.0961
11443,no ID,44.05281,-93.09507
11444,no ID,44.05245,-93.09263
11445,no ID,44.05233,-93.09168
11446,no ID,44.05216,-93.09013
11447,no ID,44.05207,-93.08913
11448,no ID,44.05197,-93.08753
11449,no ID,44.0519,-93.08594
11450,no ID,44.05188,-93.08447
11451,no ID,44.05188,-93.08306
11452,no ID,44.05191,-93.06612
11453,no ID,44.0519,-93.06112
11454,no ID,44.0519,-93.04577
11455,no ID,44.05188,-93.04366
11456,no ID,44.0519,-93.04123
11457,no ID,44.05186,-93.03591
11458,no ID,44.05193,-93.02859
11459,no ID,44.05196,-93.02587
11460,no ID,44.05195,-93.01495
11461,no ID,44.05194,-93.0122
11462,no ID,44.05189,-93.00791
11463,no ID,44.0519,-93.00576
11464,no ID,44.05191,-93.00317
11465,no ID,44.0519,-93.0001
11466,no ID,44.05192,-92.99767
11467,no ID,44.05193,-92.9958
11468,no ID,44.05196,-92.9857
11469,no ID,44.05193,-92.96545
11470,no ID,44.05184,-92.94529
11471,no ID,44.0518,-92.93711
11472,no ID,44.0518,-92.93132
11473,no ID,44.05184,-92.92671
11474,no ID,44.05184,-92.92515
11475,no ID,44.05182,-92.91477
11476,no ID,44.05178,-92.91415
11477,no ID,44.05164,-92.91286
11478,no ID,44.05156,-92.91237
11479,no ID,44.05146,-92.91194
11480,no ID,44.05112,-92.91068
11481,no ID,44.05077,-92.90977
11482,no ID,44.05046,-92.90911
11483,no ID,44.05011,-92.90846
11484,no ID,44.0498,-92.90795
11485,no ID,44.04945,-92.90745
11486,no ID,44.04892,-92.90678
11487,no ID,44.04846,-92.90628
11488,no ID,44.04772,-92.90569
11489,no ID,44.04711,-92.90527
11490,no ID,44.04658,-92.90499
11491,no ID,44.0458,-92.90455
11492,no ID,44.04318,-92.90322
11493,no ID,44.04143,-92.90233
11494,no ID,44.03938,-92.90129
11495,no ID,44.03583,-92.8994
11496,no ID,44.03207,-92.89747
11497,no ID,44.0309,-92.89665
11498,no ID,44.02998,-92.89587
11499,no ID,44.02955,-92.8955
11500,no ID,44.02867,-92.89452
11501,no ID,44.02764,-92.89332
11502,no ID,44.02644,-92.89157
11503,no ID,44.02423,-92.88789
11504,no ID,44.02288,-92.8857
11505,no ID,44.02264,-92.88532
11506,no ID,44.02245,-92.88512
11507,no ID,44.0222,-92.88477
11508,no ID,44.02027,-92.88168
11509,no ID,44.01996,-92.88113
11510,no ID,44.01934,-92.87989
11511,no ID,44.01911,-92.87922
11512,no ID,44.01882,-92.87826
11513,no ID,44.01869,-92.87767
11514,no ID,44.01851,-92.87629
11515,no ID,44.01847,-92.87568
11516,no ID,44.01846,-92.87315
11517,no ID,44.01846,-92.86562
11518,no ID,44.01849,-92.86316
11519,no ID,44.01848,-92.85918
11520,no ID,44.01848,-92.8533
11521,no ID,44.0185,-92.85129
11522,no ID,44.01855,-92.8508
11523,no ID,44.01869,-92.84974
11524,no ID,44.01882,-92.84907
11525,no ID,44.01903,-92.84829
11526,no ID,44.0192,-92.84775
11527,no ID,44.01958,-92.84684
11528,no ID,44.01984,-92.84633
11529,no ID,44.02041,-92.84537
11530,no ID,44.02079,-92.84478
11531,no ID,44.02185,-92.84328
11532,no ID,44.02325,-92.84126
11533,no ID,44.02393,-92.84026
11534,no ID,44.0243,-92.83954
11535,no ID,44.0246,-92.83887
11536,no ID,44.02486,-92.83821
11537,no ID,44.02504,-92.83767
11538,no ID,44.0252,-92.83692
11539,no ID,44.02537,-92.83624
11540,no ID,44.02557,-92.83514
11541,no ID,44.02562,-92.83463
11542,no ID,44.02568,-92.83359
11543,no ID,44.02558,-92.81895
11544,no ID,44.02558,-92.81493
11545,no ID,44.02552,-92.80679
11546,no ID,44.02556,-92.8016
11547,no ID,44.02565,-92.79883
11548,no ID,44.02586,-92.79321
11549,no ID,44.02597,-92.7897
11550,no ID,44.02636,-92.77845
11551,no ID,44.0264,-92.77681
11552,no ID,44.02637,-92.77605
11553,no ID,44.02631,-92.77537
11554,no ID,44.02611,-92.77407
11555,no ID,44.02583,-92.77303
11556,no ID,44.02543,-92.77197
