,Name,Date,Direction,Road,Location,Event
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,L004_9956398,Mon Oct 08 00:55:42 CDT 2018,SB,I-35E,NA,HAZARD
5,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,2018100803025221,Mon Oct 08 03:02:52 CDT 2018,WB,I-94,E of Co Rd 8 4 Miles,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,2018100719005669,Sun Oct 07 19:00:56 CDT 2018,SB,I-35W,@ Co Rd E2,ROADWORK
4,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
