,Station,Heading,Time,Order,Speed,Flow,Lat,Lng
39,S656,NB,Thu Oct 11 17:46:29 CDT 2018,12.0,68,1200,45.0417,-93.18926
40,S657,NB,Thu Oct 11 17:46:29 CDT 2018,10.0,48,1600,45.04845,-93.18875
38,S659,NB,Thu Oct 11 17:46:29 CDT 2018,6.0,25,1400,45.06595,-93.18596
44,S664,NB,Thu Oct 11 17:46:29 CDT 2018,1.0,31,1600,45.07241,-93.18525
46,S685,NB,Thu Oct 11 17:46:29 CDT 2018,8.0,72,880,45.07251,-93.18555
48,S686,SB,Thu Oct 11 17:46:29 CDT 2018,4.0,68,680,45.06598,-93.18629
52,S691,SB,Thu Oct 11 17:46:29 CDT 2018,8.0,66,1120,45.05605,-93.18789
50,S692,SB,Thu Oct 11 17:46:29 CDT 2018,10.0,66,660,45.04851,-93.18906
51,S693,SB,Thu Oct 11 17:46:29 CDT 2018,12.0,69,920,45.0417,-93.18961
49,S695,SB,Thu Oct 11 17:46:29 CDT 2018,15.0,67,1520,45.02788,-93.19115
45,S697,SB,Thu Oct 11 17:46:29 CDT 2018,18.0,61,1020,45.01578,-93.18804
34,S7,SB,Thu Oct 11 17:46:29 CDT 2018,49.0,0,0,44.93984,-93.27498
35,S8,SB,Thu Oct 11 17:46:29 CDT 2018,51.0,0,0,44.93465,-93.27482
36,S9,SB,Thu Oct 11 17:46:29 CDT 2018,52.0,0,0,44.92727,-93.27492
